GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB200829A   |    993768    | 8.912160e+00 | 6.166880e+00 | 1.187780e+01 | 2.389010e+01 | 2.051160e+01 | 2.724130e+01 | 4.270210e+01 | 3.768480e+01 | 4.783720e+01 | 3.107640e+01 | 2.644170e+01 | 3.553690e+01 | 7.957210e+01 | 5.163830e+01 | 1.140290e+02 | 1.065810e+02 | 9.727800e+01 | 1.158860e+02 | 1.550760e+02 | 1.268890e+02 | 2.030090e+02 | 0.02 | -59.964000 | -59.944000 |  
GRB200819A   |    992099    | 1.519710e-01 | 0.000000e+00 | 6.096770e-01 | 3.703490e-01 | 0.000000e+00 | 7.269400e-01 | 6.601280e-01 | 3.506740e-01 | 1.258220e+00 | 5.415970e-01 | 8.105150e-02 | 1.039860e+00 | 1.816010e+00 | 0.000000e+00 | 5.134480e+00 | 1.723290e+00 | 1.273300e+00 | 2.519780e+00 | 2.983110e+00 | 0.000000e+00 | 6.182130e+00 | 0.02 | 0.388000 | 0.408000 |  
GRB200809B   |    987745    | 2.008410e-01 | NaN | NaN | 5.804220e-01 | NaN | NaN | 1.797440e+00 | 0.000000e+00 | 2.960250e+00 | 2.482810e+00 | 1.066940e+00 | 3.809030e+00 | 1.843740e+01 | 0.000000e+00 | 6.354240e+01 | 5.034350e+00 | 0.000000e+00 | 7.198390e+00 | 2.051330e+01 | 0.000000e+00 | 6.461490e+01 | 0.02 | 0.064000 | 0.084000 |  
GRB200806A   |    987016    | 2.335850e+00 | 1.356380e+00 | 3.384190e+00 | 5.026340e+00 | 3.967210e+00 | 6.106820e+00 | 7.190260e+00 | 5.793120e+00 | 8.649070e+00 | 4.510810e+00 | 3.096450e+00 | 5.844110e+00 | 1.084880e+01 | 4.932110e+00 | 2.083890e+01 | 1.906330e+01 | 1.616800e+01 | 2.195720e+01 | 2.540120e+01 | 1.892680e+01 | 3.490890e+01 | 0.02 | 22.476000 | 22.496000 |  
GRB200729A   |    984929    | 1.403880e+00 | 3.125960e-01 | 2.690990e+00 | 1.461500e+00 | 0.000000e+00 | 2.226780e+00 | 1.089790e+00 | 2.224730e-01 | 2.170460e+00 | 5.424550e-01 | 0.000000e+00 | 1.303800e+00 | 1.507810e+00 | 0.000000e+00 | 5.022970e+00 | 4.517040e+00 | 2.179640e+00 | 6.826180e+00 | 5.449780e+00 | NaN | NaN | 0.02 | 32.476000 | 32.496000 |  
GRB200716C   |    982707    | 3.690290e+00 | 2.291960e+00 | 5.187750e+00 | 8.166910e+00 | 6.402300e+00 | 1.003850e+01 | 1.213400e+01 | 9.733210e+00 | 1.460820e+01 | 7.908610e+00 | 5.235370e+00 | 1.028710e+01 | 1.968350e+01 | 8.126530e+00 | 3.830680e+01 | 3.189980e+01 | 2.705040e+01 | 3.674870e+01 | 4.366770e+01 | 3.176800e+01 | 6.049340e+01 | 0.02 | 0.088000 | 0.108000 |  
GRB200713A   |    982201    | 2.660070e-01 | NaN | NaN | 6.115060e-01 | 0.000000e+00 | 1.344040e+00 | 1.140940e+00 | 0.000000e+00 | 1.897670e+00 | 1.106140e+00 | 0.000000e+00 | 1.619500e+00 | 5.296620e+00 | NaN | NaN | 3.118270e+00 | 0.000000e+00 | 4.923160e+00 | 6.500610e+00 | NaN | NaN | 0.02 | 61.276000 | 61.296000 |  
GRB200711A   |    981957    | 1.064490e-01 | 0.000000e+00 | 5.590670e-01 | 3.603650e+00 | 1.450780e+00 | 6.516100e+00 | 6.690360e+00 | 2.414890e+00 | 1.032650e+01 | 1.222050e-01 | 0.000000e+00 | 1.102410e+00 | 1.238870e-01 | 0.000000e+00 | 1.155880e+00 | 1.040980e+01 | 5.032590e+00 | 1.596930e+01 | 1.036920e+01 | 5.030590e+00 | 1.597240e+01 | 0.02 | 0.500000 | 0.520000 |  
GRB200701A   |    980421    | 8.428130e-02 | 0.000000e+00 | 5.609250e-01 | 1.190650e+00 | 4.920110e-01 | 1.938720e+00 | 1.455600e+00 | 0.000000e+00 | 2.254940e+00 | 4.979890e-02 | 0.000000e+00 | 4.971920e-01 | 5.014950e-02 | 0.000000e+00 | 6.399650e-01 | 2.780140e+00 | 1.659900e+00 | 4.109610e+00 | 2.780730e+00 | 1.642550e+00 | 4.125130e+00 | 0.02 | 6.524000 | 6.544000 |  
GRB200630A   |    980210    | 1.097560e-01 | 0.000000e+00 | 1.197230e+00 | 1.530180e+00 | 6.726750e-01 | 2.395040e+00 | 6.143950e-01 | 0.000000e+00 | 1.380830e+00 | 1.223040e-03 | 0.000000e+00 | 9.191980e-02 | 1.223720e-03 | 0.000000e+00 | 1.027450e-01 | 2.260570e+00 | 1.140500e+00 | 3.657510e+00 | 2.240540e+00 | 1.138480e+00 | 3.658130e+00 | 0.02 | 0.652000 | 0.672000 |  
GRB200612A   |    977310    | 6.766240e-01 | 0.000000e+00 | 1.415000e+00 | 1.804980e+00 | 7.298870e-01 | 2.894150e+00 | 4.649780e-01 | 4.433660e-02 | 8.988120e-01 | 2.627680e-03 | 0.000000e+00 | 2.153420e-01 | 2.632700e-03 | 0.000000e+00 | 3.571640e-01 | 2.949350e+00 | 1.534830e+00 | 4.364480e+00 | 2.949270e+00 | 1.534820e+00 | 4.364470e+00 | 0.02 | 431.984000 | 432.004000 |  
GRB200608A   |    976692    | 6.377070e-01 | 0.000000e+00 | 1.545520e+00 | 1.039090e+00 | 0.000000e+00 | 1.717490e+00 | 9.107180e-01 | 0.000000e+00 | 1.439270e+00 | 3.030150e-01 | 0.000000e+00 | 8.257790e-01 | 4.588780e-01 | 0.000000e+00 | 3.515290e+00 | 2.890220e+00 | 1.355740e+00 | 4.453140e+00 | 3.045300e+00 | 1.343200e+00 | 5.729660e+00 | 0.02 | 86.656000 | 86.676000 |  
GRB200529A   |    974942    | 2.809080e+00 | 1.530510e+00 | 4.153260e+00 | 1.039750e+00 | 0.000000e+00 | 2.101550e+00 | 9.994570e-04 | 0.000000e+00 | 3.202510e-01 | 3.577040e-12 | 0.000000e+00 | 0.000000e+00 | 3.577040e-12 | 0.000000e+00 | 0.000000e+00 | 3.826920e+00 | 2.226110e+00 | 5.507700e+00 | 3.827150e+00 | 2.226120e+00 | 5.507710e+00 | 0.02 | 22.016000 | 22.036000 |  
GRB200528A   |    974827    | 5.966220e+00 | 4.278110e+00 | 7.638230e+00 | 7.523410e+00 | 6.187210e+00 | 8.931380e+00 | 4.443500e+00 | 3.415190e+00 | 5.461570e+00 | 9.073470e-01 | 3.083430e-01 | 1.769250e+00 | 1.165990e+00 | 0.000000e+00 | 3.544910e+00 | 1.884050e+01 | 1.606110e+01 | 2.160850e+01 | 1.909910e+01 | 1.617420e+01 | 2.226060e+01 | 0.02 | 34.364000 | 34.384000 |  
GRB200522A   |    973628    | 1.209490e+00 | 4.012760e-01 | 2.092230e+00 | 2.680120e+00 | 1.880100e+00 | 3.552650e+00 | 2.279340e+00 | 1.510320e+00 | 3.092920e+00 | 4.438850e-01 | 0.000000e+00 | 1.001280e+00 | 5.251690e-01 | 0.000000e+00 | 1.863340e+00 | 6.612840e+00 | 4.882610e+00 | 8.336210e+00 | 6.694190e+00 | 4.904890e+00 | 8.562030e+00 | 0.02 | 0.040000 | 0.060000 |  
GRB200519A   |    973140    | 5.058510e+00 | NaN | NaN | 6.836080e+00 | 5.940370e+00 | 7.841440e+00 | 6.937670e+00 | 6.009200e+00 | 7.983940e+00 | 4.118300e+00 | 3.032380e+00 | 5.020500e+00 | 1.314760e+01 | NaN | NaN | 2.292790e+01 | 2.023610e+01 | 2.557440e+01 | 3.182260e+01 | 2.445870e+01 | 3.608920e+01 | 0.02 | 23.904000 | 23.924000 |  
GRB200512A   |    971846    | 4.520580e-01 | 0.000000e+00 | 8.845460e-01 | 8.751220e-01 | 3.374640e-01 | 1.429470e+00 | 3.151690e-01 | 0.000000e+00 | 6.244230e-01 | 8.815140e-03 | 0.000000e+00 | 2.712670e-01 | 8.963810e-03 | 0.000000e+00 | 6.877840e-01 | 1.651430e+00 | 8.495250e-01 | 2.454630e+00 | 1.654000e+00 | 8.495590e-01 | 2.454870e+00 | 0.02 | 4.372000 | 4.392000 |  
GRB200509A   |    970886    | 1.034560e+00 | 0.000000e+00 | 2.373320e+00 | 2.845530e+00 | 1.700670e+00 | 4.261150e+00 | 1.446040e+00 | 0.000000e+00 | 2.309120e+00 | 5.611170e-02 | 0.000000e+00 | 2.134140e-01 | 5.725960e-02 | 0.000000e+00 | 2.432230e-01 | 5.382260e+00 | 3.351100e+00 | 7.452690e+00 | 5.383420e+00 | 3.351240e+00 | 7.455520e+00 | 0.02 | 10.144000 | 10.164000 |  
GRB200425A   |    967774    | 6.629580e-01 | NaN | NaN | 8.273220e-01 | NaN | NaN | 7.451690e-01 | NaN | NaN | 4.004520e-01 | NaN | NaN | 1.158460e+00 | NaN | NaN | 2.640030e+00 | NaN | NaN | 3.411440e+00 | NaN | NaN | 0.02 | 1.508000 | 1.528000 |  
GRB200416A   |    966554    | 2.853290e+00 | 1.118200e+00 | 4.716500e+00 | 3.370420e+00 | 1.886670e+00 | 6.115940e+00 | 1.658160e+00 | 0.000000e+00 | 2.790090e+00 | 2.455060e-01 | 0.000000e+00 | 1.053740e+00 | 2.916150e-01 | 0.000000e+00 | 1.265900e+00 | 8.127240e+00 | 4.970820e+00 | 1.131580e+01 | 8.182100e+00 | 4.972490e+00 | 1.183080e+01 | 0.02 | 0.548000 | 0.568000 |  
GRB200411A   |    965784    | 1.148790e+00 | 4.756890e-01 | 1.862180e+00 | 2.397240e+00 | 1.693610e+00 | 3.160060e+00 | 3.427100e+00 | 2.579460e+00 | 4.396200e+00 | 2.288760e+00 | 9.140870e-01 | 3.230350e+00 | 6.003730e+00 | 0.000000e+00 | 1.075130e+01 | 9.215640e+00 | 7.192820e+00 | 1.115690e+01 | 1.401580e+01 | 7.627400e+00 | 2.035470e+01 | 0.02 | 0.024000 | 0.044000 |  
GRB200410A   |    965638    | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 0.02 | 1.424000 | 1.444000 |  
GRB200409A   |    965484    | 9.376240e-01 | 0.000000e+00 | 1.545990e+00 | 1.380940e+00 | 7.127850e-01 | 2.135950e+00 | 6.295220e-01 | 1.380770e-01 | 1.124750e+00 | 5.295030e-02 | 0.000000e+00 | 3.553000e-01 | 5.706950e-02 | 0.000000e+00 | 8.434610e-01 | 3.003600e+00 | 1.784710e+00 | 4.223040e+00 | 3.004760e+00 | 1.785470e+00 | 4.231130e+00 | 0.02 | 5.000000 | 5.020000 |  
GRB200324A   |    963260    | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 
GRB200306C   |    960102    | 7.575890e-03 | NaN | NaN | 1.179470e-01 | NaN | NaN | 7.455470e-01 | NaN | NaN | 7.299940e-01 | NaN | NaN | 1.219620e+00 | NaN | NaN | 1.600530e+00 | NaN | NaN | 2.072670e+00 | NaN | NaN | 0.02 | 11.608000 | 11.628000 |  
GRB200306A   |    959917    | 3.555620e+00 | 2.403780e+00 | 4.694300e+00 | 3.520330e+00 | 2.718010e+00 | 4.401100e+00 | 2.133220e+00 | 1.421900e+00 | 2.811730e+00 | 6.882700e-01 | 2.496850e-01 | 1.053470e+00 | 1.219940e+00 | 0.000000e+00 | 2.212460e+00 | 9.897440e+00 | 7.957200e+00 | 1.183690e+01 | 1.042910e+01 | 8.234990e+00 | 1.167690e+01 | 0.02 | 22.552000 | 22.572000 |  
GRB200303A   |    959431    | 2.942370e+00 | 1.498580e+00 | 4.315670e+00 | 2.594610e+00 | 1.827000e+00 | 3.525780e+00 | 1.490150e+00 | 4.357290e-01 | 2.274390e+00 | 5.165280e-01 | 0.000000e+00 | 9.535630e-01 | 1.044830e+00 | 0.000000e+00 | 2.498520e+00 | 7.543660e+00 | 5.403740e+00 | 9.690490e+00 | 8.071870e+00 | 5.542730e+00 | 1.064930e+01 | 0.02 | 3.376000 | 3.396000 |  
GRB200228B   |    958733    | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 0.02 | 6.904000 | 6.924000 |  
GRB200227A   |    958592    | 1.012900e+00 | 0.000000e+00 | 2.199660e+00 | 3.160370e+00 | 1.932310e+00 | 4.452650e+00 | 3.471150e+00 | 2.274030e+00 | 4.751780e+00 | 7.292720e-01 | 0.000000e+00 | 1.571890e+00 | 8.501790e-01 | 0.000000e+00 | 2.694820e+00 | 8.373700e+00 | 5.778320e+00 | 1.096560e+01 | 8.494430e+00 | 5.792550e+00 | 1.131920e+01 | 0.02 | 9.016000 | 9.036000 |  
GRB200224A   |    958141    | 8.666860e-01 | 0.000000e+00 | 1.492780e+00 | 5.345710e-01 | NaN | NaN | 7.142250e-02 | 0.000000e+00 | 6.117480e-01 | 1.120700e-03 | 0.000000e+00 | 1.019690e-02 | 1.155870e-03 | 0.000000e+00 | 1.029860e-02 | 1.487590e+00 | 0.000000e+00 | 2.396120e+00 | 1.507900e+00 | NaN | NaN | 0.02 | 1.412000 | 1.432000 |  
GRB200219A   |    957271    | 5.989460e-01 | 0.000000e+00 | 1.262800e+00 | 1.592360e+00 | 8.845440e-01 | 2.284660e+00 | 2.535520e+00 | 1.691840e+00 | 3.562900e+00 | 1.475660e+00 | 0.000000e+00 | 2.366160e+00 | 2.894350e+00 | 0.000000e+00 | 1.106170e+01 | 6.202480e+00 | 4.417850e+00 | 7.963830e+00 | 7.621090e+00 | 4.612920e+00 | 1.432530e+01 | 0.02 | 0.244000 | 0.264000 |  
GRB200216B   |    956824    | 5.498100e-01 | NaN | NaN | 1.153300e+00 | NaN | NaN | 6.056830e-01 | NaN | NaN | 4.006790e-02 | NaN | NaN | 4.195790e-02 | NaN | NaN | 2.357130e+00 | NaN | NaN | 2.345110e+00 | NaN | NaN | 0.02 | 6.592000 | 6.612000 |  
GRB200215A   |    956639    | 5.304870e-01 | 0.000000e+00 | 1.205140e+00 | 1.552460e+00 | 8.160530e-01 | 2.281860e+00 | 1.897400e+00 | 1.199360e+00 | 2.649180e+00 | 5.527610e-01 | 0.000000e+00 | 1.190830e+00 | 7.041800e-01 | 0.000000e+00 | 3.458660e+00 | 4.533100e+00 | 3.744890e+00 | 6.081800e+00 | 4.684080e+00 | 3.027000e+00 | 7.301620e+00 | 0.02 | 0.004000 | 0.024000 |  
GRB200205B   |    954519    | 1.635210e+00 | NaN | NaN | 1.210570e+00 | 0.000000e+00 | 2.113240e+00 | 6.202930e-01 | 0.000000e+00 | 9.620890e-01 | 2.216600e-01 | 0.000000e+00 | 3.310940e-01 | 5.254360e-01 | 0.000000e+00 | 1.339060e+00 | 3.689170e+00 | 0.000000e+00 | 5.595020e+00 | 3.994160e+00 | 1.908570e+00 | 5.964190e+00 | 0.02 | 55.904000 | 55.924000 |  
GRB200131A   |    953689    | 6.760880e+00 | 5.194000e+00 | 8.390690e+00 | 1.410980e+01 | 1.257980e+01 | 1.567160e+01 | 1.648760e+01 | 1.466210e+01 | 1.836180e+01 | 7.075030e+00 | 5.423420e+00 | 8.714630e+00 | 1.174150e+01 | 7.581770e+00 | 1.824970e+01 | 4.443330e+01 | 4.059250e+01 | 4.826930e+01 | 4.909970e+01 | 4.360430e+01 | 5.594250e+01 | 0.02 | 0.256000 | 0.276000 |  
GRB200127A   |    952791    | 1.002440e+00 | NaN | NaN | 9.475360e-01 | 4.181900e-01 | 1.786980e+00 | 6.451120e-01 | 0.000000e+00 | 6.295180e-01 | 2.993210e-01 | NaN | NaN | 7.392750e-01 | NaN | NaN | 2.926390e+00 | 0.000000e+00 | 4.270930e+00 | 3.272380e+00 | 1.611650e+00 | 4.879160e+00 | 0.02 | -175.300000 | -175.280000 |  
GRB200125A   |    952164    | 1.151350e+00 | 5.432500e-01 | 1.785970e+00 | 1.945580e+00 | 1.318660e+00 | 2.647420e+00 | 1.790070e+00 | 1.180150e+00 | 2.417340e+00 | 6.268250e-01 | 1.193490e-01 | 1.273720e+00 | 9.691410e-01 | 0.000000e+00 | 3.495470e+00 | 5.513830e+00 | 4.037270e+00 | 6.989530e+00 | 5.856010e+00 | 4.115610e+00 | 8.807880e+00 | 0.02 | 287.004000 | 287.024000 |  
GRB200122A   |    950330    | 2.828200e+00 | NaN | NaN | 4.032320e+00 | 2.999040e+00 | 5.079120e+00 | 4.410150e+00 | 3.468000e+00 | 5.574680e+00 | 2.789900e+00 | 1.747630e+00 | 3.770230e+00 | 9.666540e+00 | NaN | NaN | 1.404500e+01 | 1.109300e+01 | 1.694960e+01 | 2.069110e+01 | 1.355130e+01 | 2.542660e+01 | 0.02 | 10.656000 | 10.676000 |  
GRB200115A   |    949361    | 1.177400e+00 | 3.012750e-01 | 2.336290e+00 | 3.040890e+00 | 1.993100e+00 | 4.365200e+00 | 1.694910e+00 | 0.000000e+00 | 2.614140e+00 | 9.303340e-02 | 0.000000e+00 | 5.762220e-01 | 9.607170e-02 | 0.000000e+00 | 8.240250e-01 | 6.006230e+00 | 4.099980e+00 | 7.945040e+00 | 6.009380e+00 | 4.097380e+00 | 7.972190e+00 | 0.02 | 98.232000 | 98.252000 |  
GRB200109A   |    948361    | 4.313940e-01 | 0.000000e+00 | 1.019570e+00 | 5.452850e-01 | 0.000000e+00 | 7.739180e-01 | 5.847260e-01 | 1.425920e-01 | 1.050800e+00 | 3.619720e-01 | NaN | NaN | 1.328760e+00 | NaN | NaN | 1.900040e+00 | 6.824280e-01 | 3.126590e+00 | 2.737560e+00 | NaN | NaN | 0.02 | -14.108000 | -14.088000 |  
GRB200107B   |    948219    | 6.444520e-01 | 0.000000e+00 | 1.618550e+00 | 1.474080e+00 | 0.000000e+00 | 2.398820e+00 | 5.655970e-01 | 1.059830e-01 | 1.154300e+00 | 1.408560e-02 | 0.000000e+00 | 3.272120e-01 | 1.427690e-02 | 0.000000e+00 | 1.037440e+00 | 2.696850e+00 | 0.000000e+00 | 4.189470e+00 | 2.709080e+00 | 0.000000e+00 | 5.019010e+00 | 0.02 | 35.476000 | 35.496000 |  
GRB191228A   |    946476    | 6.835960e-01 | 0.000000e+00 | 1.204310e+00 | 7.107810e-01 | 3.705790e-01 | 1.297360e+00 | 4.899520e-01 | 0.000000e+00 | 8.359510e-01 | 1.948030e-01 | 0.000000e+00 | 4.593730e-01 | 4.182130e-01 | 0.000000e+00 | 1.374010e+00 | 2.078950e+00 | 1.084090e+00 | 3.042880e+00 | 2.297920e+00 | 1.084380e+00 | 3.588470e+00 | 0.02 | 55.492000 | 55.512000 |  
GRB191227A   |    946344    | 1.615530e+00 | NaN | NaN | 4.321320e+00 | NaN | NaN | 8.817420e+00 | NaN | NaN | 9.068630e+00 | NaN | NaN | 4.758400e+01 | NaN | NaN | 2.385990e+01 | NaN | NaN | 6.234080e+01 | NaN | NaN | 0.02 | 2.384000 | 2.404000 |  
GRB191221B   |    945521    | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | 0.02 | 3.164000 | 3.184000 |  
GRB191220A   |    945344    | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN |  
GRB191218A   |    944916    | 2.783180e+00 | 0.000000e+00 | 6.408430e+00 | 3.538400e+00 | 0.000000e+00 | 1.397330e+01 | 3.328350e+00 | 1.587410e+00 | 6.117060e+00 | 1.860470e+00 | 0.000000e+00 | 2.183620e+00 | 5.686070e+00 | 0.000000e+00 | 2.812510e+01 | 1.147530e+01 | 0.000000e+00 | 1.865020e+01 | 1.467200e+01 | 6.173210e+00 | 1.946460e+01 | 0.02 | 3.016000 | 3.036000 |  
GRB191213A   |    944091    | 1.968140e+00 | 9.444920e-01 | 3.146180e+00 | 8.042020e-01 | 3.113800e-01 | 1.416320e+00 | 1.436260e-03 | 0.000000e+00 | 1.927400e-01 | 1.289690e-11 | 0.000000e+00 | 0.000000e+00 | 1.289690e-11 | 0.000000e+00 | 0.000000e+00 | 2.790240e+00 | 1.596280e+00 | 4.109980e+00 | 2.782660e+00 | 1.595810e+00 | 4.110490e+00 | 0.02 | -0.464000 | -0.444000 |  
GRB191130A   |  03110538005 | 8.658130e-01 | 2.975310e-01 | 1.474390e+00 | 1.016040e+00 | 0.000000e+00 | 1.676390e+00 | 2.633950e-01 | 0.000000e+00 | 7.280070e-01 | 7.588970e-03 | 0.000000e+00 | 2.329130e-01 | 7.768780e-03 | 0.000000e+00 | 4.316300e-01 | 2.152750e+00 | 1.251980e+00 | 3.053200e+00 | 2.153040e+00 | 1.252340e+00 | 3.416660e+00 | 0.02 | 7.016000 | 7.036000 |  
GRB191123A   |    939079    | 3.825380e-01 | 1.426350e-01 | 7.053940e-01 | 7.190410e-01 | 3.465850e-01 | 1.082620e+00 | 9.932100e-01 | 6.367300e-01 | 1.408360e+00 | 7.031080e-01 | 0.000000e+00 | 1.105840e+00 | 2.274320e+00 | 0.000000e+00 | 4.090570e+00 | 2.797920e+00 | 1.853540e+00 | 3.740380e+00 | 4.368050e+00 | 2.137210e+00 | 7.136090e+00 | 0.02 | 112.332000 | 112.352000 |  
GRB191122A   |    938899    | 1.945330e+00 | 0.000000e+00 | 3.625550e+00 | 1.442300e+00 | 0.000000e+00 | 2.654630e+00 | 7.393710e-01 | 0.000000e+00 | 1.179030e+00 | 2.673630e-01 | 0.000000e+00 | 3.959220e-01 | 6.445180e-01 | 0.000000e+00 | 9.012510e-01 | 4.392390e+00 | 0.000000e+00 | 2.077460e+01 | 4.769780e+00 | 0.000000e+00 | 8.679930e+00 | 0.02 | 3.280000 | 3.300000 |  
GRB191106A   |    933515    | 4.646570e-01 | 0.000000e+00 | 1.003500e+00 | 1.065280e+00 | 7.982210e-01 | 1.550460e+00 | 1.057710e+00 | 5.372350e-01 | 1.618500e+00 | 2.776790e-01 | 0.000000e+00 | 7.331120e-01 | 3.539540e-01 | 0.000000e+00 | 1.999280e+00 | 2.865010e+00 | 1.757650e+00 | 3.991130e+00 | 2.939970e+00 | 1.759810e+00 | 4.981200e+00 | 0.02 | 1.240000 | 1.260000 |  
GRB191101A   |    932742    | 7.941410e-01 | 0.000000e+00 | 2.288020e+00 | 2.041060e+00 | 0.000000e+00 | 2.981160e+00 | 1.073920e-01 | 0.000000e+00 | 1.097770e+00 | 1.518290e-05 | 0.000000e+00 | 4.830060e-01 | 1.876350e-05 | 8.283280e-07 | 2.281720e-06 | 2.812690e+00 | 1.466800e+00 | 4.904460e+00 | 3.422640e+00 | 0.000000e+00 | 5.593560e+00 | 0.02 | 8.648000 | 8.668000 |  
GRB191031D   |    932608    | 3.299870e+00 | NaN | NaN | 6.717480e+00 | NaN | NaN | 9.538280e+00 | NaN | NaN | 6.373470e+00 | NaN | NaN | 1.747930e+01 | NaN | NaN | 2.592790e+01 | NaN | NaN | 3.699320e+01 | NaN | NaN | 0.02 | 0.000000 | 0.020000 |  
GRB191031C   |    932595    | 3.026660e+00 | NaN | NaN | 9.524550e-01 | NaN | NaN | 1.489360e-01 | NaN | NaN | 1.943860e-02 | NaN | NaN | 2.474980e-02 | NaN | NaN | 4.051010e+00 | NaN | NaN | 4.035280e+00 | NaN | NaN | 0.02 | 4.132000 | 4.152000 |  
GRB191031A   |    932435    | 1.335380e+00 | NaN | NaN | 1.245160e+00 | 4.917180e-01 | 1.885770e+00 | 8.421850e-01 | 0.000000e+00 | 1.076600e+00 | 3.650630e-01 | NaN | NaN | 1.053220e+00 | NaN | NaN | 3.874730e+00 | 0.000000e+00 | 5.572560e+00 | 4.317480e+00 | 2.344330e+00 | 6.421210e+00 | 0.02 | 7.048000 | 7.068000 |  
GRB191029A   |    932058    | 1.082970e+00 | NaN | NaN | 8.076560e-01 | 0.000000e+00 | 1.407040e+00 | 4.167030e-01 | 0.000000e+00 | 7.072510e-01 | 1.506440e-01 | 0.000000e+00 | 2.498780e-01 | 3.613970e-01 | 0.000000e+00 | 5.837770e-01 | 2.454650e+00 | 0.000000e+00 | 4.185960e+00 | 2.667720e+00 | 0.000000e+00 | 4.522520e+00 | 0.02 | 3.896000 | 3.916000 |  
GRB191024A   |    931242    | 1.586030e+00 | 7.265040e-01 | 2.456060e+00 | 8.482190e-01 | 0.000000e+00 | 1.577290e+00 | 3.059000e-01 | 0.000000e+00 | 8.059820e-01 | 4.557510e-02 | 0.000000e+00 | 2.881450e-01 | 8.829540e-02 | 0.000000e+00 | 6.919490e-01 | 2.833170e+00 | 1.184460e+00 | 4.751020e+00 | 2.975730e+00 | 8.306230e-01 | 5.082240e+00 | 0.02 | -0.076000 | -0.056000 |  
GRB191019A   |    930285    | 3.995130e+00 | 2.230960e+00 | 5.717460e+00 | 4.143270e+00 | 2.776410e+00 | 5.703860e+00 | 2.193640e+00 | 1.623920e+00 | 3.233950e+00 | 4.805400e-01 | 0.000000e+00 | 1.098930e+00 | 6.580450e-01 | 0.000000e+00 | 2.234680e+00 | 1.081260e+01 | 7.876640e+00 | 1.374480e+01 | 1.099010e+01 | 7.936710e+00 | 1.451080e+01 | 0.02 | 4.724000 | 4.744000 |  
GRB191017B   |    929981    | 1.335380e+00 | NaN | NaN | 1.360350e+00 | 0.000000e+00 | 2.015410e+00 | 1.022390e+00 | 0.000000e+00 | 9.158220e-01 | 4.971650e-01 | 0.000000e+00 | 1.485780e+00 | 1.452500e+00 | NaN | NaN | 4.219570e+00 | 1.736570e+00 | 6.636660e+00 | 5.081240e+00 | 1.879710e+00 | 9.709440e+00 | 0.02 | 0.392000 | 0.412000 |  
GRB191016A   |    929744    | 1.235960e+00 | 0.000000e+00 | 2.053840e+00 | 7.993070e-01 | 3.766430e-01 | 1.261610e+00 | 3.312350e-01 | 0.000000e+00 | 5.869130e-01 | 6.047250e-02 | NaN | NaN | 4.562610e-02 | NaN | NaN | 2.440810e+00 | 1.138650e+00 | 3.745550e+00 | 2.471900e+00 | NaN | NaN | 0.02 | -1.588000 | -1.568000 |  
GRB191011A   |    928924    | 1.255560e+00 | 5.858590e-01 | 1.852280e+00 | 9.477180e-01 | 4.506210e-01 | 1.315820e+00 | 4.966890e-01 | 2.339650e-01 | 7.264950e-01 | 1.824690e-01 | 8.738250e-02 | 2.592880e-01 | 4.433480e-01 | 2.165560e-01 | 6.129510e-01 | 2.882090e+00 | 1.384030e+00 | 3.949250e+00 | 3.144030e+00 | 1.607100e+00 | 4.148040e+00 | 0.02 | 0.496000 | 0.516000 |  
GRB191004B   |    927839    | 7.684710e-01 | 1.826100e-01 | 1.470280e+00 | 1.734920e+00 | 1.079400e+00 | 2.374730e+00 | 2.456710e+00 | 2.058850e+00 | 3.303180e+00 | 1.410160e+00 | 0.000000e+00 | 2.140240e+00 | 2.954020e+00 | 0.000000e+00 | 6.894510e+00 | 6.370260e+00 | 4.731070e+00 | 7.992320e+00 | 7.914130e+00 | 5.045360e+00 | 1.417180e+01 | 0.02 | 2.956000 | 2.976000 |  
